,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
38,"frozenset({'902405', '902450'})","frozenset({'902449', '902459'})",0.0118,0.0064,0.0015,0.1242,19.5562,0.0014,1.1346,2
39,"frozenset({'902450', '902459'})","frozenset({'902449', '902405'})",0.0091,0.0094,0.0015,0.1611,17.1823,0.0014,1.1809,2
40,frozenset({'902449'}),"frozenset({'902405', '902450', '902459'})",0.0405,0.0026,0.0015,0.0363,13.9114,0.0014,1.0349,1
41,frozenset({'902405'}),"frozenset({'902449', '902450', '902459'})",0.0611,0.0046,0.0015,0.0241,5.2186,0.0012,1.0199,1
42,frozenset({'902459'}),"frozenset({'902449', '902405', '902450'})",0.0203,0.0056,0.0015,0.0723,12.9667,0.0014,1.0719,1
43,frozenset({'902450'}),"frozenset({'902449', '902405', '902459'})",0.0455,0.0019,0.0015,0.0323,16.8632,0.0014,1.0314,1
44,"frozenset({'902405', '902442', '902459'})",frozenset({'902450'}),0.0014,0.0455,0.0011,0.77,16.931,0.001,4.1501,3
45,"frozenset({'902405', '902450', '902459'})",frozenset({'902442'}),0.0026,0.0281,0.0011,0.4254,15.1286,0.001,1.6914,3
46,"frozenset({'902450', '902442', '902459'})",frozenset({'902405'}),0.0032,0.0611,0.0011,0.3438,5.6279,0.0009,1.4307,3
47,"frozenset({'902405', '902442', '902450'})",frozenset({'902459'}),0.003,0.0203,0.0011,0.3667,18.0389,0.001,1.5469,3
48,"frozenset({'902405', '902459'})","frozenset({'902442', '902450'})",0.0045,0.0113,0.0011,0.2444,21.6713,0.0011,1.3086,2
49,"frozenset({'902442', '902459'})","frozenset({'902405', '902450'})",0.0046,0.0118,0.0011,0.2414,20.409,0.0011,1.3026,2
50,"frozenset({'902450', '902459'})","frozenset({'902405', '902442'})",0.0091,0.0059,0.0011,0.1216,20.6457,0.0011,1.1318,2
51,"frozenset({'902405', '902442'})","frozenset({'902450', '902459'})",0.0059,0.0091,0.0011,0.1883,20.6457,0.0011,1.2207,2
52,"frozenset({'902405', '902450'})","frozenset({'902442', '902459'})",0.0118,0.0046,0.0011,0.0938,20.409,0.0011,1.0984,2
53,"frozenset({'902442', '902450'})","frozenset({'902405', '902459'})",0.0113,0.0045,0.0011,0.0983,21.6713,0.0011,1.104,2
54,frozenset({'902459'}),"frozenset({'902405', '902442', '902450'})",0.0203,0.003,0.0011,0.0546,18.0389,0.001,1.0545,1
55,frozenset({'902405'}),"frozenset({'902450', '902442', '902459'})",0.0611,0.0032,0.0011,0.0182,5.6279,0.0009,1.0152,1
56,frozenset({'902442'}),"frozenset({'902405', '902450', '902459'})",0.0281,0.0026,0.0011,0.0394,15.1286,0.001,1.0384,1
57,frozenset({'902450'}),"frozenset({'902405', '902442', '902459'})",0.0455,0.0014,0.0011,0.0244,16.931,0.001,1.0235,1
58,"frozenset({'902449', '902459'})",frozenset({'902450'}),0.0064,0.0455,0.0046,0.7256,15.9552,0.0043,3.4789,2
59,"frozenset({'902449', '902450'})",frozenset({'902459'}),0.0192,0.0203,0.0046,0.2404,11.828,0.0042,1.2898,2
60,"frozenset({'902450', '902459'})",frozenset({'902449'}),0.0091,0.0405,0.0046,0.5055,12.4795,0.0042,1.9404,2
61,frozenset({'902449'}),"frozenset({'902450', '902459'})",0.0405,0.0091,0.0046,0.1138,12.4795,0.0042,1.1181,1
62,frozenset({'902459'}),"frozenset({'902449', '902450'})",0.0203,0.0192,0.0046,0.2268,11.828,0.0042,1.2685,1
63,frozenset({'902450'}),"frozenset({'902449', '902459'})",0.0455,0.0064,0.0046,0.1014,15.9552,0.0043,1.1057,1
64,"frozenset({'902442', '902459'})",frozenset({'902450'}),0.0046,0.0455,0.0032,0.7022,15.44,0.003,3.2052,2
65,"frozenset({'902450', '902459'})",frozenset({'902442'}),0.0091,0.0281,0.0032,0.3539,12.5843,0.003,1.5042,2
66,"frozenset({'902442', '902450'})",frozenset({'902459'}),0.0113,0.0203,0.0032,0.2861,14.0742,0.003,1.3722,2
67,frozenset({'902459'}),"frozenset({'902442', '902450'})",0.0203,0.0113,0.0032,0.1588,14.0742,0.003,1.1753,1
68,frozenset({'902442'}),"frozenset({'902450', '902459'})",0.0281,0.0091,0.0032,0.1148,12.5843,0.003,1.1193,1
69,frozenset({'902450'}),"frozenset({'902442', '902459'})",0.0455,0.0046,0.0032,0.071,15.44,0.003,1.0714,1
70,"frozenset({'902449', '902442'})",frozenset({'902459'}),0.0103,0.0203,0.0028,0.2682,13.1925,0.0026,1.3386,2
71,"frozenset({'902449', '902459'})",frozenset({'902442'}),0.0064,0.0281,0.0028,0.4354,15.4828,0.0026,1.7213,2
72,"frozenset({'902442', '902459'})",frozenset({'902449'}),0.0046,0.0405,0.0028,0.6019,14.858,0.0026,2.4101,2
73,frozenset({'902449'}),"frozenset({'902442', '902459'})",0.0405,0.0046,0.0028,0.0683,14.858,0.0026,1.0684,1
74,frozenset({'902442'}),"frozenset({'902449', '902459'})",0.0281,0.0064,0.0028,0.0984,15.4828,0.0026,1.102,1
75,frozenset({'902459'}),"frozenset({'902449', '902442'})",0.0203,0.0103,0.0028,0.1361,13.1925,0.0026,1.1456,1
76,"frozenset({'902449', '902442', '902459'})",frozenset({'902450'}),0.0028,0.0455,0.0023,0.8229,18.0945,0.0022,5.3902,3
77,"frozenset({'902449', '902450', '902459'})",frozenset({'902442'}),0.0046,0.0281,0.0023,0.4938,17.5587,0.0021,1.9198,3
78,"frozenset({'902449', '902442', '902450'})",frozenset({'902459'}),0.0067,0.0203,0.0023,0.3391,16.6805,0.0021,1.4822,3
79,"frozenset({'902450', '902442', '902459'})",frozenset({'902449'}),0.0032,0.0405,0.0023,0.7054,17.4124,0.0021,3.2565,3
80,"frozenset({'902449', '902459'})","frozenset({'902442', '902450'})",0.0064,0.0113,0.0023,0.3583,31.7631,0.0022,1.5407,2
81,"frozenset({'902449', '902442'})","frozenset({'902450', '902459'})",0.0103,0.0091,0.0023,0.2207,24.1995,0.0022,1.2715,2
82,"frozenset({'902449', '902450'})","frozenset({'902442', '902459'})",0.0192,0.0046,0.0023,0.1187,25.8318,0.0022,1.1295,2
83,"frozenset({'902442', '902459'})","frozenset({'902449', '902450'})",0.0046,0.0192,0.0023,0.4953,25.8318,0.0022,1.9434,2
84,"frozenset({'902450', '902459'})","frozenset({'902449', '902442'})",0.0091,0.0103,0.0023,0.2496,24.1995,0.0022,1.3189,2
85,"frozenset({'902442', '902450'})","frozenset({'902449', '902459'})",0.0113,0.0064,0.0023,0.2018,31.7631,0.0022,1.2448,2
86,frozenset({'902449'}),"frozenset({'902450', '902442', '902459'})",0.0405,0.0032,0.0023,0.0562,17.4124,0.0021,1.0561,1
87,frozenset({'902459'}),"frozenset({'902449', '902442', '902450'})",0.0203,0.0067,0.0023,0.112,16.6805,0.0021,1.1185,1
88,frozenset({'902442'}),"frozenset({'902449', '902450', '902459'})",0.0281,0.0046,0.0023,0.0809,17.5587,0.0021,1.0831,1
89,frozenset({'902450'}),"frozenset({'902449', '902442', '902459'})",0.0455,0.0028,0.0023,0.05,18.0945,0.0022,1.0498,1
90,"frozenset({'902453', '902459'})",frozenset({'902450'}),0.0036,0.0455,0.0025,0.6895,15.1613,0.0023,3.0743,2
91,"frozenset({'902450', '902459'})",frozenset({'902453'}),0.0091,0.025,0.0025,0.2701,10.8208,0.0022,1.3359,2
92,"frozenset({'902453', '902450'})",frozenset({'902459'}),0.0093,0.0203,0.0025,0.2651,13.0429,0.0023,1.3331,2
93,frozenset({'902459'}),"frozenset({'902453', '902450'})",0.0203,0.0093,0.0025,0.1212,13.0429,0.0023,1.1273,1
94,frozenset({'902453'}),"frozenset({'902450', '902459'})",0.025,0.0091,0.0025,0.0987,10.8208,0.0022,1.0994,1
95,frozenset({'902450'}),"frozenset({'902453', '902459'})",0.0455,0.0036,0.0025,0.0542,15.1613,0.0023,1.0535,1
96,"frozenset({'902449', '902453'})",frozenset({'902459'}),0.0114,0.0203,0.0024,0.2155,10.6001,0.0022,1.2487,2
97,"frozenset({'902449', '902459'})",frozenset({'902453'}),0.0064,0.025,0.0024,0.3855,15.4411,0.0023,1.5867,2
98,"frozenset({'902453', '902459'})",frozenset({'902449'}),0.0036,0.0405,0.0024,0.6855,16.9218,0.0023,3.0507,2
99,frozenset({'902449'}),"frozenset({'902453', '902459'})",0.0405,0.0036,0.0024,0.0605,16.9218,0.0023,1.0605,1
100,frozenset({'902453'}),"frozenset({'902449', '902459'})",0.025,0.0064,0.0024,0.0981,15.4411,0.0023,1.1017,1
101,frozenset({'902459'}),"frozenset({'902449', '902453'})",0.0203,0.0114,0.0024,0.1205,10.6001,0.0022,1.1241,1
102,"frozenset({'902453', '902405'})",frozenset({'902459'}),0.0057,0.0203,0.0011,0.1884,9.2708,0.001,1.2072,2
103,"frozenset({'902453', '902459'})",frozenset({'902405'}),0.0036,0.0611,0.0011,0.3024,4.9512,0.0009,1.346,2
104,"frozenset({'902405', '902459'})",frozenset({'902453'}),0.0045,0.025,0.0011,0.2381,9.5371,0.001,1.2797,2
105,frozenset({'902453'}),"frozenset({'902405', '902459'})",0.025,0.0045,0.0011,0.0433,9.5371,0.001,1.0405,1
106,frozenset({'902405'}),"frozenset({'902453', '902459'})",0.0611,0.0036,0.0011,0.0177,4.9512,0.0009,1.0144,1
107,frozenset({'902459'}),"frozenset({'902453', '902405'})",0.0203,0.0057,0.0011,0.0532,9.2708,0.001,1.0501,1
108,"frozenset({'902453', '902442'})",frozenset({'902459'}),0.0064,0.0203,0.0018,0.277,13.6289,0.0016,1.3551,2
109,"frozenset({'902453', '902459'})",frozenset({'902442'}),0.0036,0.0281,0.0018,0.496,17.6376,0.0017,1.9282,2
110,"frozenset({'902442', '902459'})",frozenset({'902453'}),0.0046,0.025,0.0018,0.3856,15.4448,0.0017,1.5869,2
111,frozenset({'902453'}),"frozenset({'902442', '902459'})",0.025,0.0046,0.0018,0.071,15.4448,0.0017,1.0715,1
112,frozenset({'902442'}),"frozenset({'902453', '902459'})",0.0281,0.0036,0.0018,0.063,17.6376,0.0017,1.0634,1
113,frozenset({'902459'}),"frozenset({'902453', '902442'})",0.0203,0.0064,0.0018,0.0872,13.6289,0.0016,1.0885,1
114,"frozenset({'902449', '902453', '902459'})",frozenset({'902450'}),0.0024,0.0455,0.0019,0.7824,17.2026,0.0018,4.3856,3
115,"frozenset({'902449', '902453', '902450'})",frozenset({'902459'}),0.0063,0.0203,0.0019,0.303,14.9048,0.0018,1.4055,3
116,"frozenset({'902449', '902450', '902459'})",frozenset({'902453'}),0.0046,0.025,0.0019,0.4156,16.6483,0.0018,1.6685,3
117,"frozenset({'902453', '902450', '902459'})",frozenset({'902449'}),0.0025,0.0405,0.0019,0.7778,19.2002,0.0018,4.3177,3
118,"frozenset({'902449', '902453'})","frozenset({'902450', '902459'})",0.0114,0.0091,0.0019,0.1686,18.4857,0.0018,1.1918,2
119,"frozenset({'902449', '902459'})","frozenset({'902453', '902450'})",0.0064,0.0093,0.0019,0.3016,32.4578,0.0019,1.4185,2
120,"frozenset({'902449', '902450'})","frozenset({'902453', '902459'})",0.0192,0.0036,0.0019,0.0999,27.9697,0.0018,1.107,2
121,"frozenset({'902453', '902459'})","frozenset({'902449', '902450'})",0.0036,0.0192,0.0019,0.5363,27.9697,0.0018,2.1152,2
122,"frozenset({'902453', '902450'})","frozenset({'902449', '902459'})",0.0093,0.0064,0.0019,0.2062,32.4578,0.0019,1.2518,2
123,"frozenset({'902450', '902459'})","frozenset({'902449', '902453'})",0.0091,0.0114,0.0019,0.2101,18.4857,0.0018,1.2516,2
124,frozenset({'902449'}),"frozenset({'902453', '902450', '902459'})",0.0405,0.0025,0.0019,0.0473,19.2002,0.0018,1.0471,1
125,frozenset({'902453'}),"frozenset({'902449', '902450', '902459'})",0.025,0.0046,0.0019,0.0767,16.6483,0.0018,1.0781,1
126,frozenset({'902459'}),"frozenset({'902449', '902453', '902450'})",0.0203,0.0063,0.0019,0.0943,14.9048,0.0018,1.0971,1
127,frozenset({'902450'}),"frozenset({'902449', '902453', '902459'})",0.0455,0.0024,0.0019,0.0421,17.2026,0.0018,1.0414,1
128,"frozenset({'902449', '902453', '902442'})",frozenset({'902459'}),0.0042,0.0203,0.0015,0.3481,17.1266,0.0014,1.5029,3
129,"frozenset({'902449', '902453', '902459'})",frozenset({'902442'}),0.0024,0.0281,0.0015,0.6,21.3372,0.0014,2.4297,3
130,"frozenset({'902449', '902442', '902459'})",frozenset({'902453'}),0.0028,0.025,0.0015,0.5312,21.2797,0.0014,2.0801,3
131,"frozenset({'902453', '902442', '902459'})",frozenset({'902449'}),0.0018,0.0405,0.0015,0.8293,20.4713,0.0014,5.6199,3
132,"frozenset({'902449', '902453'})","frozenset({'902442', '902459'})",0.0114,0.0046,0.0015,0.1293,28.1319,0.0014,1.1432,2
133,"frozenset({'902449', '902442'})","frozenset({'902453', '902459'})",0.0103,0.0036,0.0015,0.1425,39.8751,0.0014,1.162,2
134,"frozenset({'902449', '902459'})","frozenset({'902453', '902442'})",0.0064,0.0064,0.0015,0.2313,36.1613,0.0014,1.2926,2
135,"frozenset({'902453', '902442'})","frozenset({'902449', '902459'})",0.0064,0.0064,0.0015,0.2297,36.1613,0.0014,1.29,2
136,"frozenset({'902453', '902459'})","frozenset({'902449', '902442'})",0.0036,0.0103,0.0015,0.4113,39.8751,0.0014,1.6811,2
137,"frozenset({'902442', '902459'})","frozenset({'902449', '902453'})",0.0046,0.0114,0.0015,0.3197,28.1319,0.0014,1.4533,2
138,frozenset({'902449'}),"frozenset({'902453', '902442', '902459'})",0.0405,0.0018,0.0015,0.0363,20.4713,0.0014,1.0358,1
139,frozenset({'902453'}),"frozenset({'902449', '902442', '902459'})",0.025,0.0028,0.0015,0.0589,21.2797,0.0014,1.0596,1
140,frozenset({'902442'}),"frozenset({'902449', '902453', '902459'})",0.0281,0.0024,0.0015,0.0523,21.3372,0.0014,1.0526,1
141,frozenset({'902459'}),"frozenset({'902449', '902453', '902442'})",0.0203,0.0042,0.0015,0.0723,17.1266,0.0014,1.0734,1
142,"frozenset({'902453', '902442', '902459'})",frozenset({'902450'}),0.0018,0.0455,0.0014,0.8049,17.6979,0.0013,4.8919,3
143,"frozenset({'902453', '902450', '902459'})",frozenset({'902442'}),0.0025,0.0281,0.0014,0.5789,20.5885,0.0014,2.3082,3
144,"frozenset({'902450', '902442', '902459'})",frozenset({'902453'}),0.0032,0.025,0.0014,0.442,17.7033,0.0013,1.7473,3
145,"frozenset({'902453', '902442', '902450'})",frozenset({'902459'}),0.0038,0.0203,0.0014,0.3736,18.3793,0.0013,1.5639,3
146,"frozenset({'902453', '902459'})","frozenset({'902442', '902450'})",0.0036,0.0113,0.0014,0.3992,35.3906,0.0014,1.6457,2
147,"frozenset({'902442', '902459'})","frozenset({'902453', '902450'})",0.0046,0.0093,0.0014,0.3103,33.4003,0.0014,1.4365,2
148,"frozenset({'902450', '902459'})","frozenset({'902453', '902442'})",0.0091,0.0064,0.0014,0.1564,24.452,0.0014,1.1778,2
149,"frozenset({'902453', '902442'})","frozenset({'902450', '902459'})",0.0064,0.0091,0.0014,0.223,24.452,0.0014,1.2752,2
150,"frozenset({'902453', '902450'})","frozenset({'902442', '902459'})",0.0093,0.0046,0.0014,0.1535,33.4003,0.0014,1.1759,2
151,"frozenset({'902442', '902450'})","frozenset({'902453', '902459'})",0.0113,0.0036,0.0014,0.1264,35.3906,0.0014,1.1406,2
152,frozenset({'902459'}),"frozenset({'902453', '902442', '902450'})",0.0203,0.0038,0.0014,0.0702,18.3793,0.0013,1.0714,1
153,frozenset({'902453'}),"frozenset({'902450', '902442', '902459'})",0.025,0.0032,0.0014,0.0571,17.7033,0.0013,1.0572,1
154,frozenset({'902442'}),"frozenset({'902453', '902450', '902459'})",0.0281,0.0025,0.0014,0.0507,20.5885,0.0014,1.0508,1
155,frozenset({'902450'}),"frozenset({'902453', '902442', '902459'})",0.0455,0.0018,0.0014,0.0314,17.6979,0.0013,1.0305,1
156,"frozenset({'902449', '902453', '902442', '902459'})",frozenset({'902450'}),0.0015,0.0455,0.0013,0.8529,18.7547,0.0012,6.4907,4
157,"frozenset({'902449', '902450', '902442', '902459'})",frozenset({'902453'}),0.0023,0.025,0.0013,0.5506,22.0561,0.0012,2.1698,4
158,"frozenset({'902449', '902453', '902442', '902450'})",frozenset({'902459'}),0.003,0.0203,0.0013,0.4183,20.5776,0.0012,1.6841,4
159,"frozenset({'902449', '902453', '902450', '902459'})",frozenset({'902442'}),0.0019,0.0281,0.0013,0.6541,23.2624,0.0012,2.81,4
160,"frozenset({'902453', '902450', '902442', '902459'})",frozenset({'902449'}),0.0014,0.0405,0.0013,0.8788,21.6937,0.0012,7.9158,4
161,"frozenset({'902449', '902442', '902459'})","frozenset({'902453', '902450'})",0.0028,0.0093,0.0013,0.4531,48.7668,0.0012,1.8116,3
162,"frozenset({'902449', '902453', '902442'})","frozenset({'902450', '902459'})",0.0042,0.0091,0.0013,0.2969,32.5622,0.0012,1.4094,3
163,"frozenset({'902449', '902442', '902450'})","frozenset({'902453', '902459'})",0.0067,0.0036,0.0013,0.1867,52.2574,0.0012,1.2252,3
164,"frozenset({'902449', '902453', '902459'})","frozenset({'902442', '902450'})",0.0024,0.0113,0.0013,0.5118,45.3706,0.0012,2.0251,3
165,"frozenset({'902449', '902450', '902459'})","frozenset({'902453', '902442'})",0.0046,0.0064,0.0013,0.2719,42.5062,0.0012,1.3646,3
166,"frozenset({'902449', '902453', '902450'})","frozenset({'902442', '902459'})",0.0063,0.0046,0.0013,0.1982,43.1251,0.0012,1.2414,3
167,"frozenset({'902453', '902442', '902459'})","frozenset({'902449', '902450'})",0.0018,0.0192,0.0013,0.7073,36.8894,0.0012,3.3512,3
168,"frozenset({'902450', '902442', '902459'})","frozenset({'902449', '902453'})",0.0032,0.0114,0.0013,0.3884,34.1712,0.0012,1.6165,3
169,"frozenset({'902453', '902442', '902450'})","frozenset({'902449', '902459'})",0.0038,0.0064,0.0013,0.3283,51.6774,0.0012,1.4793,3
170,"frozenset({'902453', '902450', '902459'})","frozenset({'902449', '902442'})",0.0025,0.0103,0.0013,0.5088,49.326,0.0012,2.0147,3
171,"frozenset({'902449', '902442'})","frozenset({'902453', '902450', '902459'})",0.0103,0.0025,0.0013,0.1215,49.326,0.0012,1.1355,2
172,"frozenset({'902449', '902459'})","frozenset({'902453', '902442', '902450'})",0.0064,0.0038,0.0013,0.1973,51.6774,0.0012,1.241,2
173,"frozenset({'902449', '902453'})","frozenset({'902450', '902442', '902459'})",0.0114,0.0032,0.0013,0.1103,34.1712,0.0012,1.1203,2
174,"frozenset({'902449', '902450'})","frozenset({'902453', '902442', '902459'})",0.0192,0.0018,0.0013,0.0654,36.8894,0.0012,1.068,2
175,"frozenset({'902442', '902459'})","frozenset({'902449', '902453', '902450'})",0.0046,0.0063,0.0013,0.2727,43.1251,0.0012,1.3663,2
176,"frozenset({'902453', '902442'})","frozenset({'902449', '902450', '902459'})",0.0064,0.0046,0.0013,0.1959,42.5062,0.0012,1.238,2
177,"frozenset({'902442', '902450'})","frozenset({'902449', '902453', '902459'})",0.0113,0.0024,0.0013,0.1111,45.3706,0.0012,1.1222,2
178,"frozenset({'902453', '902459'})","frozenset({'902449', '902442', '902450'})",0.0036,0.0067,0.0013,0.3508,52.2574,0.0012,1.53,2
179,"frozenset({'902450', '902459'})","frozenset({'902449', '902453', '902442'})",0.0091,0.0042,0.0013,0.1374,32.5622,0.0012,1.1544,2
180,"frozenset({'902453', '902450'})","frozenset({'902449', '902442', '902459'})",0.0093,0.0028,0.0013,0.1349,48.7668,0.0012,1.1527,2
181,frozenset({'902449'}),"frozenset({'902453', '902450', '902442', '902459'})",0.0405,0.0014,0.0013,0.0309,21.6937,0.0012,1.0305,1
182,frozenset({'902442'}),"frozenset({'902449', '902453', '902450', '902459'})",0.0281,0.0019,0.0013,0.0446,23.2624,0.0012,1.0446,1
183,frozenset({'902459'}),"frozenset({'902449', '902453', '902442', '902450'})",0.0203,0.003,0.0013,0.0617,20.5776,0.0012,1.0625,1
184,frozenset({'902453'}),"frozenset({'902449', '902450', '902442', '902459'})",0.025,0.0023,0.0013,0.0502,22.0561,0.0012,1.0505,1
185,frozenset({'902450'}),"frozenset({'902449', '902453', '902442', '902459'})",0.0455,0.0015,0.0013,0.0276,18.7547,0.0012,1.0268,1
186,frozenset({'900510'}),frozenset({'901870'}),0.0432,0.0073,0.0012,0.0267,3.6356,0.0008,1.0199,1
187,frozenset({'901870'}),frozenset({'900510'}),0.0073,0.0432,0.0012,0.1572,3.6356,0.0008,1.1352,1
188,frozenset({'902129'}),frozenset({'900955'}),0.0198,0.0112,0.001,0.0516,4.6217,0.0008,1.0426,1
189,frozenset({'900955'}),frozenset({'902129'}),0.0112,0.0198,0.001,0.0916,4.6217,0.0008,1.079,1
190,frozenset({'908059'}),frozenset({'900955'}),0.0287,0.0112,0.0016,0.0548,4.9086,0.0013,1.0462,1
191,frozenset({'900955'}),frozenset({'908059'}),0.0112,0.0287,0.0016,0.1406,4.9086,0.0013,1.1303,1
192,frozenset({'900349'}),frozenset({'900955'}),0.0343,0.0112,0.0012,0.034,3.0484,0.0008,1.0237,1
193,frozenset({'900955'}),frozenset({'900349'}),0.0112,0.0343,0.0012,0.1045,3.0484,0.0008,1.0784,1
194,frozenset({'915821'}),frozenset({'900955'}),0.014,0.0112,0.001,0.073,6.536,0.0009,1.0667,1
195,frozenset({'900955'}),frozenset({'915821'}),0.0112,0.014,0.001,0.0916,6.536,0.0009,1.0854,1
196,frozenset({'902133'}),frozenset({'900955'}),0.0238,0.0112,0.0011,0.0471,4.2214,0.0009,1.0377,1
197,frozenset({'900955'}),frozenset({'902133'}),0.0112,0.0238,0.0011,0.1006,4.2214,0.0009,1.0854,1
198,frozenset({'900116'}),frozenset({'900955'}),0.0261,0.0112,0.0011,0.0408,3.6539,0.0008,1.0309,1
199,frozenset({'900955'}),frozenset({'900116'}),0.0112,0.0261,0.0011,0.0955,3.6539,0.0008,1.0767,1
200,frozenset({'902133'}),frozenset({'902134'}),0.0238,0.008,0.0015,0.061,7.6468,0.0013,1.0565,1
201,frozenset({'902134'}),frozenset({'902133'}),0.008,0.0238,0.0015,0.1823,7.6468,0.0013,1.1938,1
202,frozenset({'903131'}),frozenset({'903133'}),0.0061,0.0189,0.0016,0.2618,13.8302,0.0015,1.329,1
203,frozenset({'903133'}),frozenset({'903131'}),0.0189,0.0061,0.0016,0.0845,13.8302,0.0015,1.0856,1
204,frozenset({'903131'}),frozenset({'903136'}),0.0061,0.0197,0.0012,0.1981,10.0603,0.0011,1.2225,1
205,frozenset({'903136'}),frozenset({'903131'}),0.0197,0.0061,0.0012,0.0614,10.0603,0.0011,1.059,1
